gene-symbol,gene-name,chromosome,genetic-category,gene-score,syndromic,number-of-reports
GPC6,glypican 6,13,"Rare Single Gene Mutation, Genetic Association",3,0,8
GPD2,glycerol-3-phosphate dehydrogenase 2,2,"Rare Single Gene Mutation, Genetic Association",3,0,4
GPHN,Gephyrin,14,Rare Single Gene Mutation,2,0,8
GPR37,G protein-coupled receptor 37,7,Rare Single Gene Mutation,3,0,2
GPR85,G protein-coupled receptor 85,7,"Rare Single Gene Mutation, Genetic Association",3,0,4
GRIA1,glutamate ionotropic receptor AMPA type subunit 1,5,Rare Single Gene Mutation,2,0,6
GRIA2,glutamate ionotropic receptor AMPA type subunit 2,4,Rare Single Gene Mutation,2,0,3
GRID1,"Glutamate receptor, ionotropic, delta 1",10,"Rare Single Gene Mutation, Genetic Association",2,0,6
GRID2,"glutamate receptor, ionotropic, delta 2",4,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9
GRID2IP,Grid2 interacting protein,7,Rare Single Gene Mutation,3,0,4
GRIK2,glutamate ionotropic receptor kainate type subunit 2,6,"Rare Single Gene Mutation, Genetic Association",2,0,18
GRIK3,glutamate ionotropic receptor kainate type subunit 3,1,"Rare Single Gene Mutation, Genetic Association",3,0,5
GRIK4,"Glutamate receptor, ionotropic, kainate 4",11,"Rare Single Gene Mutation, Functional",3,0,4
GRIK5,"Glutamate receptor, ionotropic, kainate 5",19,Rare Single Gene Mutation,2,0,8
FBXO33,F-box protein 33,14,Genetic Association,3,0,3
GAS2,Growth arrest-specific 2,11,Genetic Association,3,0,1
GRIN1,"Glutamate receptor, ionotropic, N-methyl D-aspartate 1",9,"Rare Single Gene Mutation, Functional",2,0,17
GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",16,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,39
GRIN2B,"glutamate receptor, inotropic, N-methyl D-apartate 2B",12,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,51
GPX1,glutathione peroxidase 1,3,Genetic Association,3,0,5
GRIP1,glutamate receptor interacting protein 1,12,Rare Single Gene Mutation,2,0,13
GRM5,"Glutamate receptor, metabotropic 5",11,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
GRM7,"Glutamate receptor, metabotropic 7",3,"Rare Single Gene Mutation, Genetic Association",3,0,13
GSTM1,glutathione S-transferase M1,1,Genetic Association,3,0,3
GTF2I,general transcription factor IIi,7,"Rare Single Gene Mutation, Genetic Association",3,0,5
GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2,11,"Rare Single Gene Mutation, Genetic Association",3,0,2
HDAC4,histone deacetylase 4,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",3S,S,15
HDAC8,histone deacetylase 8,X,Syndromic,S,S,6
HDLBP,high density lipoprotein binding protein,2,Rare Single Gene Mutation,3,0,4
HECTD4,HECT domain E3 ubiquitin protein ligase 4,12,Rare Single Gene Mutation,1,0,4
HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",2,"Rare Single Gene Mutation, Syndromic",2,0,7
H2BC11,H2B clustered histone 11,6,Rare Single Gene Mutation,3,0,3
HIVEP3,human immunodeficiency virus type I enhancer binding protein 3,1,"Rare Single Gene Mutation, Genetic Association",2,0,6
HLA-A,"major histocompatibility complex, class I, A",6,Genetic Association,3,0,10
HLA-B,"Major histocompatibility complex, class I, B",6,Genetic Association,3,0,5
HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",6,"Rare Single Gene Mutation, Genetic Association",3,0,2
HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",6,Genetic Association,3,0,11
HLA-G,"major histocompatibility complex, class I, G",6,Genetic Association,3,0,4
HMGN1,high mobility group nucleosome binding domain 1,21,Genetic Association,2,0,1
HNRNPH2,heterogeneous nuclear ribonucleoprotein H2,X,"Rare Single Gene Mutation, Syndromic",1,0,6
HNRNPU,heterogeneous nuclear ribonucleoprotein U,1,"Rare Single Gene Mutation, Syndromic, Functional",1,0,13
HOMER1,Homer homolog 1 (Drosophila),5,"Rare Single Gene Mutation, Functional",3,0,5
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,11,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,11
HS3ST5,heparan sulfate (glucosamine) 3-O-sulfotransferase 5,6,Genetic Association,3,0,7
HSD11B1,hydroxysteroid (11-beta) dehydrogenase 1,1,Syndromic,3,0,8
HTR1B,5-hydroxytryptamine (serotonin) receptor 1B,6,"Rare Single Gene Mutation, Genetic Association",3,0,6
HTR3A,5-hydroxytryptamine (serotonin) receptor 3A,11,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,7
HTR3C,"5-hydroxytryptamine (serotonin) receptor 3, family member C",3,"Rare Single Gene Mutation, Genetic Association",3,0,6
HYDIN,"HYDIN, axonemal central pair apparatus protein",16,"Rare Single Gene Mutation, Genetic Association",3,0,3
ICA1,islet cell autoantigen 1,7,Rare Single Gene Mutation,2,0,8
IL1R2,"interleukin 1 receptor, type II",2,Rare Single Gene Mutation,3,0,6
IL1RAPL1,interleukin 1 receptor accessory protein-like 1,X,Rare Single Gene Mutation,3,0,22
IL1RAPL2,interleukin 1 receptor accessory protein-like 2,X,"Rare Single Gene Mutation, Genetic Association",3,0,2
ILF2,Interleukin enhancer binding factor 2,1,Rare Single Gene Mutation,2,0,4
IMMP2L,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae),7,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,14
INPP1,inositol polyphosphate-1-phosphatase,2,"Rare Single Gene Mutation, Genetic Association",3,0,4
INTS6,Integrator complex subunit 6,13,Rare Single Gene Mutation,2,0,4
IQGAP3,IQ motif containing GTPase activating protein 3,1,Rare Single Gene Mutation,3,0,4
IQSEC2,IQ motif and Sec7 domain 2,X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,25
IRF2BPL,Interferon regulatory factor 2 binding protein-like,14,"Rare Single Gene Mutation, Syndromic",1,0,5
ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",17,"Rare Single Gene Mutation, Genetic Association",2,0,15
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",3,Rare Single Gene Mutation,3,0,9
JARID2,jumonji and AT-rich interaction domain containing 2,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,11
JMJD1C,jumonji domain containing 1C,10,Rare Single Gene Mutation,3,0,8
KANK1,KN motif and ankyrin repeat domains 1,9,Rare Single Gene Mutation,3,0,9
KAT2B,K(lysine) acetyltransferase 2B,3,Rare Single Gene Mutation,2,0,6
KAT6A,K(lysine) acetyltransferase 6A,8,"Rare Single Gene Mutation, Syndromic",2S,S,12
KATNAL1,katanin catalytic subunit A1 like 1,13,"Rare Single Gene Mutation, Functional",3,0,2
KATNAL2,Katanin p60 subunit A-like 2,18,Rare Single Gene Mutation,1,0,11
KCNB1,potassium voltage-gated channel subfamily B member 1,20,"Rare Single Gene Mutation, Syndromic",1,0,5
KCNC1,potassium voltage-gated channel subfamily C member 1,11,Rare Single Gene Mutation,3,0,5
KCND2,potassium voltage-gated channel subfamily D member 2,7,"Rare Single Gene Mutation, Genetic Association",3,0,6
KCND3,potassium voltage-gated channel subfamily D member 3,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,8
KCNJ10,potassium voltage-gated channel subfamily J member 10,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,11
KCNJ15,potassium voltage-gated channel subfamily J member 15,21,Rare Single Gene Mutation,3,0,3
KCNK7,potassium two pore domain channel subfamily K member 7,11,Rare Single Gene Mutation,3,0,2
KCNMA1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",10,"Rare Single Gene Mutation, Syndromic",3,0,20
KCNQ2,potassium voltage-gated channel subfamily Q member 2,20,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,24
KCNQ3,potassium voltage-gated channel subfamily Q member 3,8,"Rare Single Gene Mutation, Genetic Association",2,0,9
KCNS3,potassium voltage-gated channel modifier subfamily S member 3,2,Rare Single Gene Mutation,2,0,4
KCTD13,Potassium channel tetramerisation domain containing 13,16,"Rare Single Gene Mutation, Functional",3,0,7
KDM4B,lysine demethylase 4B,19,"Rare Single Gene Mutation, Functional",3,0,3
KDM4C,lysine demethylase 4C,9,Rare Single Gene Mutation,2,0,1
KDM5B,Lysine (K)-specific demethylase 5B,1,"Rare Single Gene Mutation, Syndromic, Functional",2,0,12
KDM5C,lysine demethylase 5C,X,"Rare Single Gene Mutation, Syndromic, Functional",2,0,22
KDM6A,lysine demethylase 6A,X,"Rare Single Gene Mutation, Syndromic",2,0,7
KDM6B,Lysine (K)-specific demethylase 6B,17,"Rare Single Gene Mutation, Syndromic",1,0,10
KHDRBS2,"KH domain containing, RNA binding, signal transduction associated 2",6,Rare Single Gene Mutation,3,0,3
KIAA1586,KIAA1586,6,Rare Single Gene Mutation,2,0,4
KIF13B,Kinesin family member 13B,8,Rare Single Gene Mutation,3,0,3
KIF14,kinesin family member 14,1,"Rare Single Gene Mutation, Syndromic",2,0,4
KIF5C,Kinesin family member 5C,2,"Rare Single Gene Mutation, Syndromic",3S,S,7
KIRREL3,Kin of IRRE like 3 (Drosophila),11,Rare Single Gene Mutation,2,0,15
KLF16,Kruppel like factor 16,19,Rare Single Gene Mutation,3,0,1
KMT2A,Lysine (K)-specific methyltransferase 2A,11,"Rare Single Gene Mutation, Syndromic",1,0,20
KMT2C,Lysine (K)-specific methyltransferase 2C,7,"Rare Single Gene Mutation, Syndromic",1,0,15
KMT2E,Lysine (K)-specific methyltransferase 2E,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",2S,S,7
KRR1,"KRR1, small subunit (SSU) processome component, homolog (yeast)",12,"Rare Single Gene Mutation, Genetic Association",3,0,2
KRT26,keratin 26,17,Rare Single Gene Mutation,3,0,2
LAMA1,"Laminin, alpha 1",18,"Rare Single Gene Mutation, Genetic Association",3,0,5
LAMB1,"laminin, beta 1",7,"Rare Single Gene Mutation, Genetic Association",2,0,7
LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component",15,Rare Single Gene Mutation,2,0,3
LEP,Leptin,7,Rare Single Gene Mutation,3,0,1
LILRB2,leukocyte immunoglobulin like receptor B2,19,Rare Single Gene Mutation,3,0,2
LIN7B,"lin-7 homolog B, crumbs cell polarity complex component",19,Rare Single Gene Mutation,3,0,2
LMX1B,LIM homeobox transcription factor 1 beta,9,Genetic Association,2,0,1
LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",4,Rare Single Gene Mutation,3,0,5
LRFN2,leucine rich repeat and fibronectin type III domain containing 2,6,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,4
LRFN5,leucine rich repeat and fibronectin type III domain containing 5,14,"Rare Single Gene Mutation, Genetic Association",3,0,6
LRP1,LDL receptor related protein 1,12,Rare Single Gene Mutation,2,0,3
LRP2,LDL receptor related protein 2,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,11
LRRC1,leucine rich repeat containing 1,6,"Rare Single Gene Mutation, Genetic Association",3,0,6
KMT5B,lysine methyltransferase 5B,11,"Rare Single Gene Mutation, Syndromic",1,0,11
LNPK,"lunapark, ER junction formation factor",2,Syndromic,S,S,1
LRRC4,leucine rich repeat containing 4,7,"Rare Single Gene Mutation, Functional",3,0,3
LZTR1,Leucine-zipper-like transcription regulator 1,22,"Rare Single Gene Mutation, Syndromic",1,0,10
LZTS2,"leucine zipper, putative tumor suppressor 2",10,Genetic Association,3,0,4
MACROD2,MACRO domain containing 2,20,"Rare Single Gene Mutation, Genetic Association",2,0,19
MAGEL2,MAGE-like 2,15,"Rare Single Gene Mutation, Syndromic",1,0,16
MAOA,monoamine oxidase A,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3,0,15
MAOB,monoamine oxidase B,X,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,5
MAPK3,mitogen-activated protein kinase 3,16,"Rare Single Gene Mutation, Functional",3,0,5
MARK1,microtubule affinity regulating kinase 1,1,"Rare Single Gene Mutation, Genetic Association",3,0,10
MBD1,methyl-CpG binding domain protein 1,18,Rare Single Gene Mutation,3,0,7
MBD3,methyl-CpG binding domain protein 3,19,Rare Single Gene Mutation,3,0,4
MBD4,methyl-CpG binding domain protein 4,3,Rare Single Gene Mutation,3,0,7
MBD5,Methyl-CpG binding domain protein 5,2,"Rare Single Gene Mutation, Syndromic",1,0,32
MBD6,Methyl-CpG binding domain protein 6,12,Rare Single Gene Mutation,3,0,1
MBOAT7,membrane bound O-acyltransferase domain containing 7,19,"Rare Single Gene Mutation, Syndromic",1,0,6
MCM4,minichromosome maintenance complex component 4,8,Rare Single Gene Mutation,3,0,2
MCM6,minichromosome maintenance complex component 6,2,Rare Single Gene Mutation,3,0,2
MCPH1,microcephalin 1,8,Rare Single Gene Mutation,3,0,16
MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2,14,"Rare Single Gene Mutation, Genetic Association",3,0,8
MECP2,Methyl CpG binding protein 2,X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,80
MED12L,mediator complex subunit 12L,3,"Rare Single Gene Mutation, Syndromic",3S,S,3
MED13,mediator complex subunit 13,17,"Rare Single Gene Mutation, Syndromic",1,0,4
MED13L,Mediator complex subunit 13-like,12,"Rare Single Gene Mutation, Syndromic",1,0,31
MEF2C,myocyte enhancer factor 2C,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3S,S,34
MEGF10,multiple EGF like domains 10,5,"Rare Single Gene Mutation, Genetic Association",3,0,6
MEGF11,multiple EGF like domains 11,15,Rare Single Gene Mutation,3,0,5
MEIS2,Meis homeobox 2,15,"Rare Single Gene Mutation, Syndromic",1,0,6
MEMO1,mediator of cell motility 1,2,"Rare Single Gene Mutation, Functional",3,0,2
MET,met proto-oncogene (hepatocyte growth factor receptor),7,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,37
MFRP,Membrane frizzled-related protein,11,Rare Single Gene Mutation,2,0,6
MIB1,Mindbomb E3 ubiquitin protein ligase 1,18,Rare Single Gene Mutation,3,0,6
METTL26,methyltransferase like 26,16,Rare Single Gene Mutation,3,0,2
MKL2,MKL/myocardin-like 2,16,"Rare Single Gene Mutation, Genetic Association",3,0,10
MLANA,melan-A,9,Rare Single Gene Mutation,3,0,3
MNT,MAX network transcriptional repressor,17,Genetic Association,3,0,1
MPP6,membrane palmitoylated protein 6,7,Rare Single Gene Mutation,3,0,3
MSANTD2,Myb/SANT DNA binding domain containing 2,11,Rare Single Gene Mutation,3,0,1
MSNP1AS,"Moesinpseudogene 1, antisense",5,"Genetic Association, Functional",2,0,12
MSR1,macrophage scavenger receptor 1,8,Rare Single Gene Mutation,3,0,3
MTF1,metal-regulatory transcription factor 1,1,"Syndromic, Genetic Association",3,0,4
MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),1,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,16
MTOR,Mechanistic target of rapamycin (serine/threonine kinase),1,"Rare Single Gene Mutation, Syndromic, Functional",2S,S,18
MUC12,"mucin 12, cell surface associated",7,Rare Single Gene Mutation,3,0,2
MUC4,"mucin 4, cell surface associated",3,Rare Single Gene Mutation,3,0,6
MYH10,myosin heavy chain 10,17,Rare Single Gene Mutation,2,0,5
MYH4,"Myosin, heavy chain 4, skeletal muscle",17,Rare Single Gene Mutation,3,0,4
MYO16,myosin XVI,13,"Rare Single Gene Mutation, Genetic Association",3,0,8
MYO1E,myosin IE,15,Rare Single Gene Mutation,3,0,4
MIR137,microRNA 137,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,10
MYO5A,myosin VA,15,"Rare Single Gene Mutation, Genetic Association",2,0,5
MYO5C,myosin VC,15,Rare Single Gene Mutation,3,0,3
MYO9B,Myosin IXB,19,Rare Single Gene Mutation,2,0,4
MYT1L,Myelin transcription factor 1-like,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,17
NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",4,"Rare Single Gene Mutation, Syndromic",1,0,13
NACC1,nucleus accumbens associated 1,19,"Rare Single Gene Mutation, Syndromic",3S,S,6
NAV2,neuron navigator 2,11,Rare Single Gene Mutation,2,0,9
NBEA,neurobeachin,13,"Rare Single Gene Mutation, Syndromic, Functional",1,0,18
NCKAP1,NCK-associated protein 1,2,Rare Single Gene Mutation,1,0,8
NCKAP5,NCK-associated protein 5,2,Rare Single Gene Mutation,3,0,1
NCOR1,nuclear receptor corepressor 1,17,"Rare Single Gene Mutation, Functional",2,0,6
NEGR1,neuronal growth regulator 1,1,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
NEO1,Neogenin 1,15,,3,0,1
NF1,"neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)",17,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,24
NFE2L3,"nuclear factor, erythroid 2 like 3",7,Rare Single Gene Mutation,2,0,3
NFIA,nuclear factor I/A,1,Rare Single Gene Mutation,3,0,11
NFIB,nuclear factor I B,9,"Rare Single Gene Mutation, Syndromic",3S,S,4
NINL,Ninein-like,20,Rare Single Gene Mutation,2,0,5
NIPA1,non imprinted in Prader-Willi/Angelman syndrome 1,15,Rare Single Gene Mutation,3,0,5
NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2,15,Rare Single Gene Mutation,3,0,2
NIPBL,Nipped-B homolog (Drosophila),5,"Rare Single Gene Mutation, Syndromic",1,0,13
NLGN1,neuroligin 1,3,"Rare Single Gene Mutation, Genetic Association",2,0,17
NLGN2,Neuroligin 2,17,"Rare Single Gene Mutation, Functional",1,0,8
NLGN3,neuroligin 3,X,Rare Single Gene Mutation,1,0,34
NEXMIF,neurite extension and migration factor,X,"Rare Single Gene Mutation, Syndromic",1,0,19
NLGN4X,"neuroligin 4, X-linked",X,"Rare Single Gene Mutation, Genetic Association",2,0,33
NLGN4Y,"neuroligin 4, Y-linked",Y,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,5
NR1D1,nuclear receptor subfamily 1 group D member 1,17,Rare Single Gene Mutation,3,0,3
NR2F1,nuclear receptor subfamily 2 group F member 1,5,"Rare Single Gene Mutation, Syndromic",3S,S,12
NR3C2,"Nuclear receptor subfamily 3, group C, member 2",4,"Rare Single Gene Mutation, Syndromic",2S,S,5
NR4A2,nuclear receptor subfamily 4 group A member 2,2,Rare Single Gene Mutation,1,0,6
NRCAM,neuronal cell adhesion molecule,7,"Rare Single Gene Mutation, Genetic Association",3,0,5
NRP2,neuropilin 2,2,"Rare Single Gene Mutation, Genetic Association",3,0,8
NRXN1,neurexin 1,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,81
NRXN2,neurexin 2,11,"Rare Single Gene Mutation, Genetic Association",1,0,11
NRXN3,neurexin 3,14,"Rare Single Gene Mutation, Genetic Association",1,0,18
NSD1,nuclear receptor binding SET domain protein 1,5,"Rare Single Gene Mutation, Syndromic",1,0,14
NTNG1,netrin G1,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",3S,S,8
NTNG2,netrin G2,9,Syndromic,S,S,1
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",1,"Rare Single Gene Mutation, Syndromic",3,0,8
NTRK2,neurotrophic receptor tyrosine kinase 2,9,Syndromic,S,S,3
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",15,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,13
NUAK1,"NUAK family, SNF1-like kinase, 1",12,"Rare Single Gene Mutation, Functional",2,0,6
NUDCD2,NudC domain containing 2,5,Rare Single Gene Mutation,2,0,3
NUP133,nucleoporin 133kDa,1,Rare Single Gene Mutation,3,0,4
NXPH1,neurexophilin 1,7,Rare Single Gene Mutation,3,0,5
NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component",15,Functional,3,0,3
NAALADL2,N-acetylated alpha-linked acidic dipeptidase-like 2,3,Genetic Association,3,0,1
NDUFA5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa",7,Genetic Association,3,0,3
NOTCH2NL,notch 2 N-terminal like,1,Functional,3,0,1
NPAS2,neuronal PAS domain protein 2,2,Genetic Association,3,0,4
ODF3L2,outer dense fiber of sperm tails 3-like 2,19,Rare Single Gene Mutation,3,0,1
OFD1,"OFD1, centriole and centriolar satellite protein",X,Rare Single Gene Mutation,3,0,2
OPHN1,oligophrenin 1,X,"Rare Single Gene Mutation, Syndromic",2,0,15
OR1C1,"olfactory receptor, family 1, subfamily C, member 1",1,Rare Single Gene Mutation,3,0,3
OR2M4,"Olfactory receptor, family 2, subfamily M, member 4",1,Genetic Association,3,0,1
OR2T10,olfactory receptor family 2 subfamily T member 10,1,Rare Single Gene Mutation,3,0,3
OR52M1,"Olfactory receptor, family 52, subfamily M, member 1",11,Rare Single Gene Mutation,2,0,2
OTUD7A,OTU deubiquitinase 7A,15,"Rare Single Gene Mutation, Functional",2,0,4
OTX1,Orthodenticle homeobox 1,2,Genetic Association,3,0,3
OXT,oxytocin/neurophysin I prepropeptide,20,"Rare Single Gene Mutation, Genetic Association",3,0,5
OXTR,oxytocin receptor,3,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,44
P2RX5,"Purinergic receptor P2X, ligand gated ion channel, 5",17,Rare Single Gene Mutation,2,0,3
P4HA2,"Prolyl 4-hydroxylase, alpha polypeptide II",5,Rare Single Gene Mutation,2,0,4
PACS1,phosphofurin acidic cluster sorting protein 1,11,"Rare Single Gene Mutation, Syndromic",1,0,6
PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2,11,Rare Single Gene Mutation,3,0,3
PAH,Phenylalanine hydroxylase,12,"Rare Single Gene Mutation, Syndromic",2,0,6
PAK2,p21 (RAC1) activated kinase 2,3,Rare Single Gene Mutation,2,0,4
PAPOLG,poly(A) polymerase gamma,2,Rare Single Gene Mutation,3,0,4
PARD3B,Par-3 partitioning defective 3 homolog B (C. elegans),2,"Rare Single Gene Mutation, Genetic Association",2,0,7
PAX5,Paired box 5,9,Rare Single Gene Mutation,2,0,5
PBX1,PBX homeobox 1,1,Rare Single Gene Mutation,3,0,4
PCDH10,protocadherin 10,4,Rare Single Gene Mutation,3,0,8
PCDH11X,protocadherin 11 X-linked,X,Rare Single Gene Mutation,3,0,2
PCDH15,protocadherin related 15,10,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,5
PCDH19,protocadherin 19,X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,34
PATJ,"PATJ, crumbs cell polarity complex component",1,Rare Single Gene Mutation,3,0,3
PCDH9,protocadherin 9,13,"Rare Single Gene Mutation, Genetic Association",3,0,7
PCDHA1,Protocadherin alpha 1,5,"Rare Single Gene Mutation, Genetic Association",3,0,3
PCDHA10,Protocadherin alpha 10,5,"Rare Single Gene Mutation, Genetic Association",3,0,4
PCDHA11,Protocadherin alpha 11,5,"Rare Single Gene Mutation, Genetic Association",3,0,5
PCDHA12,Protocadherin alpha 12,5,"Rare Single Gene Mutation, Genetic Association",3,0,3
PCDHA13,Protocadherin alpha 13,5,"Rare Single Gene Mutation, Genetic Association",3,0,4
PCDHA2,Protocadherin alpha 2,5,"Rare Single Gene Mutation, Genetic Association",3,0,5
PCDHA3,Protocadherin alpha 3,5,"Rare Single Gene Mutation, Genetic Association",3,0,3
PCDHA4,Protocadherin alpha 4,5,"Rare Single Gene Mutation, Genetic Association",3,0,4
PCDHA5,Protocadherin alpha 5,5,"Rare Single Gene Mutation, Genetic Association",3,0,5
PCDHA6,Protocadherin alpha 6,5,"Rare Single Gene Mutation, Genetic Association",3,0,3
PCDHA7,Protocadherin alpha 7,5,"Rare Single Gene Mutation, Genetic Association",3,0,4
PCDHA8,Protocadherin alpha 8,5,"Rare Single Gene Mutation, Genetic Association",3,0,4
PCDHA9,Protocadherin alpha 9,5,"Rare Single Gene Mutation, Genetic Association",3,0,4
PCDHAC1,"Protocadherin alpha subfamily C, 1",5,"Rare Single Gene Mutation, Genetic Association",3,0,3
PCM1,pericentriolar material 1,8,Rare Single Gene Mutation,3,0,3
PDCD1,programmed cell death 1,2,Rare Single Gene Mutation,3,0,3
PDE1C,phosphodiesterase 1C,7,"Rare Single Gene Mutation, Genetic Association",3,0,3
PDK2,pyruvate dehydrogenase kinase 2,17,Rare Single Gene Mutation,3,0,4
PER1,period homolog 1 (Drosophila),17,"Rare Single Gene Mutation, Genetic Association",3,0,7
PER2,period circadian clock 2,2,Rare Single Gene Mutation,2,0,3
PEX7,peroxisomal biogenesis factor 7,6,"Rare Single Gene Mutation, Genetic Association",3,0,3
PHF2,PHD finger protein 2,9,Rare Single Gene Mutation,2,0,5
PHF21A,PHD finger protein 21A,11,"Rare Single Gene Mutation, Syndromic",1,0,7
PHF3,PHD finger protein 3,6,Rare Single Gene Mutation,1,0,3
PHIP,pleckstrin homology domain interacting protein,6,"Rare Single Gene Mutation, Syndromic",1,0,11
PHRF1,PHD and ring finger domains 1,11,Rare Single Gene Mutation,2,0,4
PITX1,paired-like homeodomain 1,5,"Rare Single Gene Mutation, Genetic Association",3,0,6
PLAUR,"Plasminogen activator, urokinase receptor",19,"Rare Single Gene Mutation, Genetic Association",3,0,2
PLCB1,"phospholipase C, beta 1 (phosphoinositide-specific)",20,Rare Single Gene Mutation,2,0,7
PLCD4,phospholipase C delta 4,2,Rare Single Gene Mutation,3,0,3
PLN,phospholamban,6,Rare Single Gene Mutation,3,0,4
PLXNA3,plexin A3,X,Rare Single Gene Mutation,3,0,3
PLXNA4,Plexin A4,7,"Rare Single Gene Mutation, Functional",2,0,4
PLXNB1,plexin B1,3,Rare Single Gene Mutation,2,0,3
PNPLA7,patatin like phospholipase domain containing 7,9,Rare Single Gene Mutation,3,0,3
POGZ,Pogo transposable element with ZNF domain,1,"Rare Single Gene Mutation, Syndromic",1,0,29
POLA2,"DNA polymerase alpha 2, accessory subunit",11,Rare Single Gene Mutation,3,0,2
POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",1,"Rare Single Gene Mutation, Syndromic",1,0,5
POMT1,protein O-mannosyltransferase 1,9,Rare Single Gene Mutation,3,0,2
POT1,Protection of telomeres 1 homolog (S. pombe),7,Rare Single Gene Mutation,3,0,1
POU3F3,POU class 3 homeobox 3,2,Syndromic,S,S,1
PPFIA1,PTPRF interacting protein alpha 1,11,Rare Single Gene Mutation,3,0,3
PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",17,"Rare Single Gene Mutation, Syndromic",3S,S,6
PPP2CA,protein phosphatase 2 catalytic subunit alpha,5,Syndromic,S,S,1
PPP2R1B,"protein phosphatase 2 regulatory subunit A, beta",11,Rare Single Gene Mutation,3,0,6
PPP2R5D,"Protein phosphatase 2, regulatory subunit B', delta",6,"Rare Single Gene Mutation, Syndromic",1,0,14
PREX1,"Phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1",20,Genetic Association,2,0,1
PRICKLE1,Prickle homolog 1 (Drosophila),12,"Rare Single Gene Mutation, Syndromic, Functional",2,0,4
PRICKLE2,prickle planar cell polarity protein 2,3,"Rare Single Gene Mutation, Functional",2,0,3
PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,7,Rare Single Gene Mutation,3,0,4
PRKCA,protein kinase C alpha,17,Rare Single Gene Mutation,3,0,4
PRKCB,protein kinase C beta,16,"Rare Single Gene Mutation, Genetic Association",2,0,6
PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",8,"Rare Single Gene Mutation, Syndromic, Functional",3,0,5
PRODH,Proline dehydrogenase (oxidase) 1,22,"Syndromic, Genetic Association",2S,S,6
