Accession	Gene	Peptide count	Unique peptides	Confidence score	Anova (p)	Max fold change	Fractions	Occurrences	Highest mean condition	Lowest mean condition	Description	F2613	F6281	F7511	F5541	F5618	F7647	Correlation
P62847	RPS24	9	8	50.0263	0.14031994	1.6049934	3	1	Controles	Pacientes	40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1	11729.51038	13053.72384	17780.35837	28536.90863	14446.81993	25330.55664	-0.727845518
Q4V328	GRIPAP1	7	2	40.9585	0.140350859	1.239876731	1;2	2	Pacientes	Controles	GRIP1-associated protein 1 OS=Homo sapiens OX=9606 GN=GRIPAP1 PE=1 SV=2	414.1493605	366.619929	291.3931229	278.9154418	271.2891505	314.528478	0.417332581
Q9HC07	TMEM165	3	3	23.5948	0.140385664	1.650803568	1;2	2	Controles	Pacientes	Transmembrane protein 165 OS=Homo sapiens OX=9606 GN=TMEM165 PE=1 SV=1	781.1244849	985.0955951	2064.560022	2115.439807	1689.249717	2519.175937	-0.722179905
Q53GS9	USP39	4	4	26.3291	0.140624239	1.351659742	3	1	Pacientes	Controles	U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens OX=9606 GN=USP39 PE=1 SV=2	3214.36113	4203.900913	3377.587609	2399.861005	2094.84354	3492.401469	0.057153411
P07197	NEFM	41	28	318.8424	0.14155768	2.525886647	1;2;3	3	Controles	Pacientes	Neurofilament medium polypeptide OS=Homo sapiens OX=9606 GN=NEFM PE=1 SV=3	4252.783326	7126.398715	11675.67695	10744.14067	12507.74345	34982.07635	-0.891398575
P36957	DLST	12	11	83.1449	0.141574161	1.665108287	1;2;3	3	Pacientes	Controles	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex_ mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4	10905.99811	6549.813186	4819.325492	3957.134903	5153.629121	4266.826464	0.64647398
Q02543	RPL18A	18	15	130.5383	0.14191963	1.447313462	1;2;3	3	Controles	Pacientes	60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2	8600.579965	11993.96558	9692.10716	18642.11251	10498.21409	14693.95357	-0.693315517
Q96AX2	RAB37	2	1	13.635	0.142045012	1.955890549	3	1	Controles	Pacientes	Ras-related protein Rab-37 OS=Homo sapiens OX=9606 GN=RAB37 PE=1 SV=3	1402.801022	406.4246184	1850.540925	2299.595663	2470.322777	2388.184397	-0.488952511
P51532	SMARCA4	16	8	103.2307	0.142654771	1.879379873	1;2	2	Controles	Pacientes	Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	537.5694149	1027.746196	2106.412746	2796.710991	1728.414572	2375.44681	-0.642052464
Q99550	MPHOSPH9	3	2	31.5613	0.142889	1.243264353	1	1	Pacientes	Controles	M-phase phosphoprotein 9 OS=Homo sapiens OX=9606 GN=MPHOSPH9 PE=1 SV=4	1332.100083	1036.507089	989.6110321	795.9405454	1023.966627	881.2224746	0.713498468
P09972	ALDOC	7	4	57.2271	0.143613605	1.237042606	2;3	2	Pacientes	Controles	Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2	4946.34064	4179.85101	4811.404922	4057.4461	4229.648664	2979.773901	0.987378243
O43347	MSI1	8	5	64.0056	0.143662221	2.029679839	2;3	2	Pacientes	Controles	RNA-binding protein Musashi homolog 1 OS=Homo sapiens OX=9606 GN=MSI1 PE=1 SV=1	3295.248496	9315.540097	8415.388319	3561.767099	2929.470311	3868.119032	0.308878269
O15131	KPNA5	4	2	21.2763	0.143882884	1.859829599	2	1	Controles	Pacientes	Importin subunit alpha-6 OS=Homo sapiens OX=9606 GN=KPNA5 PE=1 SV=2	32.68613679	81.77570046	83.87043532	174.1340426	93.19846993	101.5317184	-0.542982822
O95864	FADS2	4	4	29.8111	0.144123843	1.789992759	3	1	Controles	Pacientes	Fatty acid desaturase 2 OS=Homo sapiens OX=9606 GN=FADS2 PE=1 SV=1	2063.915185	3349.872705	2848.953351	6774.572426	2809.705758	5205.968806	-0.719511872
Q9HB71	CACYBP	5	3	45.9764	0.144365094	1.509890308	2;3	2	Pacientes	Controles	Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2	5129.735462	4248.461906	7190.257721	3256.708444	4944.392172	2772.183336	0.79400424
P23381	WARS	12	10	85.1882	0.144859313	1.459784621	2;3	2	Pacientes	Controles	Tryptophan--tRNA ligase_ cytoplasmic OS=Homo sapiens OX=9606 GN=WARS PE=1 SV=2	9787.795377	9933.911718	5930.563337	5979.478231	6848.397804	4744.764518	0.665001522
P39023;Q92901	RPL3	35	30	248.8807	0.144884832	1.836198178	1;2;3	3	Controles	Pacientes	60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2	5743.404479	6578.895418	18928.93096	24524.34442	14371.01055	18488.0982	-0.511869687
Q13838	DDX39B	19	8	238.912	0.145413481	1.173543753	2;3	2	Pacientes	Controles	Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1	31870.72109	36601.71589	31111.24552	27813.46002	24856.88298	32186.89578	0.080757338
Q13510	ASAH1	2	2	12.5979	0.145648093	2.073103346	1	1	Pacientes	Controles	Acid ceramidase OS=Homo sapiens OX=9606 GN=ASAH1 PE=1 SV=5	3397.985355	1104.621014	2189.587626	1437.876009	906.002966	884.2254054	0.73428453
P14923	JUP	5	1	38.2453	0.145899944	1.233352631	2;3	2	Controles	Pacientes	Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3	250.662506	203.5028908	298.4530163	297.7102124	289.5155597	341.018128	-0.6248125
O95239	KIF4A	3	1	23.9433	0.146143583	1.444374072	2	1	Controles	Pacientes	Chromosome-associated kinesin KIF4A OS=Homo sapiens OX=9606 GN=KIF4A PE=1 SV=3	337.2374558	710.9165864	602.6830514	840.0948966	734.1964925	810.1349055	-0.780425457
P54868	HMGCS2	4	3	24.0225	0.146195826	1.813303926	2	1	Pacientes	Controles	Hydroxymethylglutaryl-CoA synthase_ mitochondrial OS=Homo sapiens OX=9606 GN=HMGCS2 PE=1 SV=1	472.8541102	827.6229004	1231.934657	430.0993866	404.8094388	561.6643749	0.3424907
P20839	IMPDH1	2	1	13.6678	0.146290313	2.219539769	1	1	Pacientes	Controles	Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens OX=9606 GN=IMPDH1 PE=1 SV=2	187.8462366	496.2579429	587.812483	161.4796536	144.3314019	267.2431787	0.280740419
P46060	RANGAP1	20	16	135.523	0.146301019	1.376508327	1;2;3	3	Pacientes	Controles	Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1	10638.37256	8874.377308	6136.005951	6238.657049	5927.228527	6467.315041	0.514596397
P55036	PSMD4	12	8	128.8979	0.1465943	1.623630958	1;2;3	3	Pacientes	Controles	26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1	26324.49163	25291.70602	12696.30843	12411.7385	12522.23758	14676.32192	0.441304118
P55283	CDH4	3	1	23.9162	0.14696375	2.033016176	2	1	Pacientes	Controles	Cadherin-4 OS=Homo sapiens OX=9606 GN=CDH4 PE=2 SV=2	1486.714951	1969.747183	1425.64041	290.579766	1782.808244	328.0205974	0.701647215
Q96I24	FUBP3	8	5	57.9342	0.147742928	1.89394919	2;3	2	Controles	Pacientes	Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2	2335.401767	549.0391957	1416.483194	2804.543822	3180.450299	2160.737702	-0.217882173
P08758	ANXA5	31	28	271.332	0.147817034	1.348507742	1;2;3	3	Controles	Pacientes	Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	24560.33853	24373.89158	26749.39271	26050.69424	43894.17393	32115.08313	-0.312101053
Q9NWU1	OXSM	1	1	4.9313	0.147924625	1.122311782	1	1	Pacientes	Controles	3-oxoacyl-[acyl-carrier-protein] synthase_ mitochondrial OS=Homo sapiens OX=9606 GN=OXSM PE=1 SV=1	3237.786296	3793.320539	3207.399665	2863.611992	3056.436321	3202.645278	0.207996115
O14618	CCS	1	1	6.6701	0.148331917	1.383749683	1	1	Controles	Pacientes	Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1	542.4318705	644.7708117	878.3459935	1156.896333	764.0759818	937.23001	-0.583431103
P39748	FEN1	5	4	41.5637	0.148596413	1.358202557	1;2	2	Pacientes	Controles	Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1	11405.00433	12017.43275	9143.75188	6479.178356	10757.46347	6740.775086	0.70545481
P23193	TCEA1	13	10	84.6732	0.149116603	1.46974409	1;2;3	3	Pacientes	Controles	Transcription elongation factor A protein 1 OS=Homo sapiens OX=9606 GN=TCEA1 PE=1 SV=2	20028.15664	17716.79548	11352.71682	9672.723781	13850.7815	9882.08503	0.662757819
P51991	HNRNPA3	30	25	194.6869	0.149243679	1.454116387	1;2;3	3	Pacientes	Controles	Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2	41317.71451	64679.80718	41141.58836	36812.05106	24875.67919	39500.25672	0.159166557
O94804	STK10	3	1	12.5044	0.149367463	1.41254756	1	1	Controles	Pacientes	Serine/threonine-protein kinase 10 OS=Homo sapiens OX=9606 GN=STK10 PE=1 SV=1	1043.157821	1474.74083	2066.432529	2386.248529	1843.811226	2245.526069	-0.672547703
P36776	LONP1	2	2	9.0339	0.149370751	1.569166903	3	1	Controles	Pacientes	Lon protease homolog_ mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2	300.8886893	549.2143945	768.223017	844.6879472	718.2913452	976.4444631	-0.799780134
O75534	CSDE1	23	15	139.8987	0.149772633	1.368837357	1;2;3	3	Pacientes	Controles	Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2	5854.730222	4960.393898	3436.327028	3649.931454	3606.709418	3154.713749	0.643725257
Q9Y5L4	TIMM13	1	1	6.077	0.149951757	2.028583098	3	1	Pacientes	Controles	Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1	3217.090677	3442.069802	1255.180222	1285.335907	979.2632459	1636.81396	0.371494745
Q9UHR5	SAP30BP	2	1	15.8931	0.150109979	1.127179724	1	1	Pacientes	Controles	SAP30-binding protein OS=Homo sapiens OX=9606 GN=SAP30BP PE=1 SV=1	1540.671695	1504.802919	1660.457515	1517.729454	1230.32276	1426.909443	0.401881027
O00203	AP3B1	2	2	12.7502	0.150414671	1.696146302	3	1	Controles	Pacientes	AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3	1261.380954	574.8875912	1154.794252	1418.258919	1304.364731	2350.656454	-0.758637478
Q14320	FAM50A	2	2	9.6656	0.150604265	1.365137861	2	1	Pacientes	Controles	Protein FAM50A OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=2	1669.310311	1085.273487	1030.47214	849.127921	1030.935702	892.5911002	0.690969986
Q7Z3K3	POGZ	4	2	26.5526	0.151914698	1.464154077	2	1	Controles	Pacientes	Pogo transposable element with ZNF domain OS=Homo sapiens OX=9606 GN=POGZ PE=1 SV=2	2487.229414	1652.029318	3894.313894	3793.892864	3799.862221	4168.633024	-0.501948752
Q96B54	ZNF428	2	2	11.8088	0.152197795	1.576533499	1	1	Controles	Pacientes	Zinc finger protein 428 OS=Homo sapiens OX=9606 GN=ZNF428 PE=1 SV=2	248.1042669	232.8825149	388.9334145	518.1501969	299.3167393	553.9913948	-0.768532768
P60510	PPP4C	4	3	29.1915	0.152599175	1.254879774	3	1	Pacientes	Controles	Serine/threonine-protein phosphatase 4 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP4C PE=1 SV=1	2784.75274	2077.38394	2136.693443	1842.917979	1586.033082	2148.340302	0.396122505
P62841	RPS15	1	1	6.7117	0.152642941	2.826819112	3	1	Controles	Pacientes	40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2	28.02217291	19.75783046	281.4225839	124.8612893	402.5060643	403.2288116	-0.546499064
Q03426	MVK	6	3	36.5046	0.152930963	1.623154461	3	1	Pacientes	Controles	Mevalonate kinase OS=Homo sapiens OX=9606 GN=MVK PE=1 SV=1	4310.033425	6157.769162	2885.673535	2334.478854	2337.511362	3554.876937	0.193206421
P30085	CMPK1	2	1	20.1484	0.153345904	1.299703377	3	1	Pacientes	Controles	UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3	4112.939413	3567.134934	2658.555811	2551.594511	2431.430332	2971.582604	0.397444088
P53999	SUB1	7	7	58.819	0.153531021	1.462463266	1;2;3	3	Pacientes	Controles	Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3	15471.49112	18245.94412	9545.261272	9393.253114	9857.747495	10331.07336	0.385899817
A3KMH1	VWA8	5	3	25.5665	0.154172037	1.387891759	2	1	Pacientes	Controles	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	1710.134814	1210.271559	2120.986141	1293.687817	1071.215249	1267.507374	0.575999042
O60518	RANBP6	14	8	94.3084	0.154877226	1.298469946	2;3	2	Controles	Pacientes	Ran-binding protein 6 OS=Homo sapiens OX=9606 GN=RANBP6 PE=1 SV=2	3532.692653	4112.681561	3195.87171	5717.069947	3727.419684	4632.542374	-0.641101897
O15400	STX7	3	1	16.703	0.155506811	1.823782655	2	1	Controles	Pacientes	Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4	88.28214635	34.85171039	143.0868928	166.8569214	186.2131705	132.4586936	-0.278469757
O76003	GLRX3	14	12	98.729	0.155569637	3.588684246	1;2;3	3	Pacientes	Controles	Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2	16004.3603	16416.09485	2838.052285	2931.63545	3877.707487	3015.569209	0.51312462
P08243	ASNS	5	3	31.0319	0.155573113	3.211911369	3	1	Controles	Pacientes	Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4	628.9613315	140.9264764	2447.801246	3744.361711	5227.757814	1362.812528	-0.123151984
A0AVT1	UBA6	14	11	83.5117	0.155642113	1.472748587	2;3	2	Pacientes	Controles	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	4345.476827	4329.134451	7443.912811	2988.072052	4293.937329	3662.50907	0.546404281
O95714	HERC2	4	2	25.2384	0.155739181	1.406304432	1	1	Pacientes	Controles	E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2	3365.283856	3913.006198	2195.227124	2030.017124	2300.937092	2405.508362	0.369704218
Q99729	HNRNPAB	8	5	69.0222	0.156149925	1.376293601	1;2;3	3	Pacientes	Controles	Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2	3752.926775	5186.98375	6569.683828	3717.184099	4100.852195	3451.066706	0.518963097
P62829	RPL23	10	8	86.6854	0.157229721	1.283715377	1;2;3	3	Controles	Pacientes	60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1	36126.45693	43970.58604	46659.12532	62275.2274	42601.4665	57842.14842	-0.766627481
O75531	BANF1	2	1	12.5305	0.157350761	1.711986033	2;3	2	Controles	Pacientes	Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1	512.0311746	1344.478406	933.5107597	1760.692189	1078.715733	1937.067933	-0.913008737
Q16512	PKN1	5	3	32.6071	0.157668451	1.586260111	2	1	Controles	Pacientes	Serine/threonine-protein kinase N1 OS=Homo sapiens OX=9606 GN=PKN1 PE=1 SV=2	1451.359707	2801.342886	3734.965564	3355.12015	4514.050559	4801.348667	-0.718373142
Q9BTT0	ANP32E	4	4	44.7385	0.157732372	2.255332223	3	1	Pacientes	Controles	Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1	12232.46802	21190.94064	5973.585771	4815.6904	4252.163592	8400.52341	0.210767104
Q96CV9	OPTN	3	1	13.4922	0.157948599	2.068333898	1	1	Controles	Pacientes	Optineurin OS=Homo sapiens OX=9606 GN=OPTN PE=1 SV=3	115.2041565	95.81361355	125.2841025	104.9572101	335.8246901	254.8026627	-0.463585497
Q06203	PPAT	7	5	42.1593	0.158339339	1.374802025	2	1	Pacientes	Controles	Amidophosphoribosyltransferase OS=Homo sapiens OX=9606 GN=PPAT PE=1 SV=1	2477.125841	3157.301918	2155.507412	1554.830119	2510.54205	1600.851059	0.589241537
O75116	ROCK2	24	15	152.499	0.15848436	1.593760973	1;2	2	Pacientes	Controles	Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4	13169.23178	9131.377311	5976.371983	5100.968932	6876.608722	5764.719681	0.616408652
Q96QK1	VPS35	25	22	147.0002	0.158723019	1.182568713	1;2;3	3	Pacientes	Controles	Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2	13109.79195	10553.97884	9817.210164	8880.911799	9973.408335	9457.76068	0.644856346
O94888	UBXN7	2	2	9.4485	0.159227626	1.768057575	1	1	Pacientes	Controles	UBX domain-containing protein 7 OS=Homo sapiens OX=9606 GN=UBXN7 PE=1 SV=2	848.1243778	1025.606964	431.9733102	545.5427137	313.6500402	444.8963687	0.382193418
Q9NR12	PDLIM7	5	4	31.2181	0.159415028	1.402195958	2;3	2	Controles	Pacientes	PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1	6739.527115	3482.446243	3572.130536	5936.232493	6274.376629	7131.427599	-0.453917453
Q9NVE7	PANK4	7	5	33.4909	0.15961734	1.521660088	2	1	Controles	Pacientes	Pantothenate kinase 4 OS=Homo sapiens OX=9606 GN=PANK4 PE=1 SV=1	1828.554837	2440.002146	2518.547276	4619.890301	2300.032388	3407.742976	-0.6309583
Q9BWD1	ACAT2	21	17	188.8689	0.159894588	1.430799569	1;2;3	3	Pacientes	Controles	Acetyl-CoA acetyltransferase_ cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2	28526.41154	41963.8776	42867.36361	25708.05903	34372.77238	19145.95562	0.679690314
O14974	PPP1R12A	4	2	34.7008	0.160161295	2.159671096	1	1	Controles	Pacientes	Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1	301.4568079	153.5672561	36.93085755	332.3548386	419.7318168	310.374169	-0.392757174
Q9UKN8	GTF3C4	3	1	14.3779	0.16031196	2.181700962	1	1	Controles	Pacientes	General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2	51.75341406	29.83121175	641.6770257	680.3650252	446.9296037	450.6460123	-0.340943809
P50990	CCT8	48	41	380.0359	0.160926694	1.430528705	1;2;3	3	Pacientes	Controles	T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4	49927.59015	52028.79852	29888.36006	26835.22711	35149.45766	30180.36459	0.513191157
O15075	DCLK1	4	2	21.0488	0.161180001	3.230794723	1	1	Pacientes	Controles	Serine/threonine-protein kinase DCLK1 OS=Homo sapiens OX=9606 GN=DCLK1 PE=1 SV=2	258.0908761	1445.948422	1189.595932	339.5870824	265.2520796	290.8027706	0.345913158
O43823	AKAP8	2	2	9.5318	0.162113799	1.641200761	1	1	Pacientes	Controles	A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1	2809.869682	2686.000173	1291.795924	1514.071223	1255.733735	1365.98753	0.489477168
P48047	ATP5PO	6	3	55.6224	0.162130134	1.536642317	2;3	2	Controles	Pacientes	ATP synthase subunit O_ mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1	1697.142195	2187.062685	4160.043257	4894.991217	3377.231105	4088.909775	-0.542226139
P34932	HSPA4	54	40	509.0521	0.162617643	1.309574665	1;2;3	3	Pacientes	Controles	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	40367.8728	39630.42728	27184.07983	27368.3394	23430.46697	31046.37798	0.304360979
Q9NZZ3	CHMP5	1	1	7.3488	0.162859353	3.242170683	2	1	Controles	Pacientes	Charged multivesicular body protein 5 OS=Homo sapiens OX=9606 GN=CHMP5 PE=1 SV=1	383.6934217	21.54434771	1360.31297	2460.787002	1374.987207	1888.442638	-0.603422786
Q9NR50	EIF2B3	5	4	28.4626	0.163182294	1.669015747	2;3	2	Pacientes	Controles	Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1	1854.44103	2359.045947	1004.602444	867.2647902	1170.749569	1088.432728	0.398654447
P00390	GSR	10	7	84.4676	0.163742263	1.476335174	2;3	2	Pacientes	Controles	Glutathione reductase_ mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2	6519.483027	5282.835143	3264.310095	3288.651381	3506.720922	3410.052951	0.553308045
Q08AM6	VAC14	2	2	11.6279	0.163742275	1.971091459	2	1	Pacientes	Controles	Protein VAC14 homolog OS=Homo sapiens OX=9606 GN=VAC14 PE=1 SV=1	924.0114357	417.0780291	630.3250203	148.1874756	590.9122711	261.0641353	0.788397294
Q09161	NCBP1	6	5	36.7918	0.163773219	1.267111032	1;2	2	Pacientes	Controles	Nuclear cap-binding protein subunit 1 OS=Homo sapiens OX=9606 GN=NCBP1 PE=1 SV=1	2658.420157	2580.126972	3488.309703	1910.508848	2263.874387	2712.824446	0.323604778
Q9UEF7	KL	5	2	33.5	0.163904581	1.359376582	2	1	Pacientes	Controles	Klotho OS=Homo sapiens OX=9606 GN=KL PE=1 SV=2	5994.715372	6246.975778	3768.812609	3813.180122	4237.35003	3727.297991	0.52662637
O14818	PSMA7	15	11	130.4244	0.165164112	1.529983516	1;2;3	3	Pacientes	Controles	Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1	25981.75528	22426.12284	13413.79128	11489.25079	17160.83608	11756.66833	0.650950751
Q99426	TBCB	12	11	81.4584	0.165598845	1.389970112	1;2	2	Pacientes	Controles	Tubulin-folding cofactor B OS=Homo sapiens OX=9606 GN=TBCB PE=1 SV=2	9864.529139	9670.520629	5906.827586	5423.95518	6901.915677	5978.031599	0.537396019
Q07960	ARHGAP1	4	3	41.7352	0.165789759	1.76010357	2;3	2	Controles	Pacientes	Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1	1177.919198	1745.300606	1905.715098	1806.766935	4388.137943	2304.520683	-0.260590591
Q99456	KRT12	5	3	38.0989	0.165946582	1.981655617	2	1	Pacientes	Controles	Keratin_ type I cytoskeletal 12 OS=Homo sapiens OX=9606 GN=KRT12 PE=1 SV=1	4181.713358	3083.21031	1332.155947	1488.666793	1417.947025	1431.718001	0.551850172
P38919	EIF4A3	22	14	234.1183	0.166125685	1.468806349	1;2;3	3	Pacientes	Controles	Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4	12766.90086	21995.73971	15308.39547	12181.78435	13794.27431	8113.551643	0.542883451
P04181	OAT	6	5	43.1065	0.166565497	1.419411549	2	1	Pacientes	Controles	Ornithine aminotransferase_ mitochondrial OS=Homo sapiens OX=9606 GN=OAT PE=1 SV=1	46044.97128	29523.36977	33948.79011	20946.04832	35073.2396	21137.42625	0.832641582
P41219	PRPH	17	6	127.0311	0.166796463	1.422349658	1;2;3	3	Controles	Pacientes	Peripherin OS=Homo sapiens OX=9606 GN=PRPH PE=1 SV=2	4127.385955	2069.577878	1992.306216	4280.768351	3775.423806	3591.813297	-0.261245326
P62854;Q5JNZ5	RPS26	6	5	53.6842	0.166966458	2.267811165	2;3	2	Controles	Pacientes	40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3	5344.892203	1550.558991	10257.25702	17382.65274	7574.103477	13942.34698	-0.580936918
P07900;Q9NQH7	HSP90AA1	74	39	788.4185	0.167224284	1.481973295	1;2;3	3	Pacientes	Controles	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	262476.8696	232227.6539	134235.0727	132954.3719	154435.4887	137003.4793	0.560582396
Q9HBF4	ZFYVE1	3	1	25.081	0.168247388	2.071370638	2	1	Controles	Pacientes	Zinc finger FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZFYVE1 PE=1 SV=1	13.06607555	45.81052349	124.3316204	136.151287	114.0704538	129.2703856	-0.598975799
Q9BQB6	VKORC1	1	1	7.2259	0.16884483	1.389461458	2	1	Controles	Pacientes	Vitamin K epoxide reductase complex subunit 1 OS=Homo sapiens OX=9606 GN=VKORC1 PE=1 SV=1	1773.711281	1913.438366	1673.826459	3126.483491	1727.049322	2595.33686	-0.681854995
P20645	M6PR	1	1	7.5821	0.169426652	2.138120836	1	1	Controles	Pacientes	Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=M6PR PE=1 SV=1	187.0648694	215.3863224	4066.682334	4532.015148	2229.614011	2793.918353	-0.34412894
Q9UBQ0	VPS29	3	1	22.8935	0.169593998	1.528719346	1	1	Pacientes	Controles	Vacuolar protein sorting-associated protein 29 OS=Homo sapiens OX=9606 GN=VPS29 PE=1 SV=1	9735.988777	8277.829896	4787.26293	5054.580362	5680.944719	4179.627049	0.650134559
P10809	HSPD1	62	58	581.4277	0.171176843	1.544000342	1;2;3	3	Pacientes	Controles	60 kDa heat shock protein_ mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	129816.2803	70049.08832	63009.70724	61104.29004	52201.08794	56950.46246	0.595439654
P12110	COL6A2	7	4	52.2692	0.171395966	3.340860887	1;2	2	Controles	Pacientes	Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4	94.06645689	789.611405	143.4742583	388.8503676	2284.927699	757.794277	-0.257033882
Q9UNH7	SNX6	11	9	68.1669	0.171908038	1.343347664	2;3	2	Controles	Pacientes	Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1	3119.396638	1673.159374	2431.756825	2851.552244	3627.351106	3225.860421	-0.277935235
Q15046	KARS	29	23	215.0104	0.172012808	1.29301881	1;2;3	3	Pacientes	Controles	Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS PE=1 SV=3	10039.28617	9927.237248	6562.692025	6411.675813	7245.378358	6860.215359	0.494606507
P07741	APRT	2	1	13.3327	0.172148252	2.515278436	3	1	Controles	Pacientes	Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2	26.87741262	15.22630134	710.8179135	269.0983368	539.5360442	1085.173153	-0.655099432
Q9HAV4	XPO5	18	11	130.2249	0.172638729	1.541407765	1;2;3	3	Pacientes	Controles	Exportin-5 OS=Homo sapiens OX=9606 GN=XPO5 PE=1 SV=1	4570.255985	4556.777733	8998.623805	4189.334943	3826.901529	3742.921577	0.508126409
